avg_size,len,bytes,long_enough,arm_chosen,delta_bmr,stored,type_idx
31749.7,1354,42989056,0,0,0.345437,0,9
11367.9,1035,11765760,0,0,0,0,9
18271.4,1017,18582016,0,0,0,0,9
10708.6,1299,13910528,0,0,0,0,9
15112.1,1078,16290816,0,0,0,0,9
4122.28,7792,32120832,1,1,0,0,9
12840.4,1052,13508096,0,0,0,0,9
27646.5,1028,28420608,0,0,-0.0607983,0,9
30694.7,1071,32873984,0,0,0,0,9
17596.3,1017,17895424,0,0,0,0,9
14783.7,1004,14842880,0,0,0,0,9
10991.2,1021,11222016,0,0,0,0,9
15551.7,1055,16407040,0,0,0,0,9
31515.7,1016,32019968,0,0,0,0,9
5697.98,1327,7561216,0,0,0,0,9
4155.97,4303,17883136,1,1,0,0,9
10565.9,1326,14010368,0,0,-0.00263852,0,9
4185.66,4020,16826368,0,0,0,0,9
